transaction_id,date,customer_id,product_category,quantity,price_per_unit,sales,avg_item_value,is_high_value_transaction,is_bulk_purchase
65,2023-12-05,CUST065,Electronics,4,500,2000,500.0,1,0
66,2023-04-27,CUST066,Electronics,1,30,30,30.0,0,0
67,2023-05-29,CUST067,Beauty,4,300,1200,300.0,1,0
68,2023-02-10,CUST068,Electronics,1,300,300,300.0,0,0
69,2023-04-30,CUST069,Beauty,3,25,75,25.0,0,0
70,2023-02-21,CUST070,Clothing,1,300,300,300.0,0,0
71,2023-07-14,CUST071,Beauty,4,25,100,25.0,0,0
72,2023-05-23,CUST072,Electronics,4,500,2000,500.0,1,0
73,2023-08-21,CUST073,Electronics,3,30,90,30.0,0,0
74,2023-11-22,CUST074,Beauty,4,500,2000,500.0,1,0
75,2023-07-06,CUST075,Beauty,4,50,200,50.0,0,0
76,2023-03-25,CUST076,Electronics,2,50,100,50.0,0,0
77,2023-07-09,CUST077,Clothing,2,50,100,50.0,0,0
78,2023-07-01,CUST078,Clothing,3,500,1500,500.0,1,0
79,2023-04-18,CUST079,Beauty,1,300,300,300.0,0,0
80,2023-12-10,CUST080,Clothing,2,30,60,30.0,0,0
81,2023-05-17,CUST081,Electronics,1,50,50,50.0,0,0
82,2023-12-26,CUST082,Beauty,4,50,200,50.0,0,0
83,2023-12-16,CUST083,Electronics,2,50,100,50.0,0,0
84,2023-11-28,CUST084,Electronics,3,30,90,30.0,0,0
85,2023-02-06,CUST085,Clothing,3,50,150,50.0,0,0
86,2023-11-08,CUST086,Beauty,3,30,90,30.0,0,0
87,2023-11-22,CUST087,Beauty,2,50,100,50.0,0,0
88,2023-03-29,CUST088,Clothing,1,500,500,500.0,0,0
89,2023-10-01,CUST089,Electronics,4,500,2000,500.0,1,0
90,2023-05-06,CUST090,Electronics,1,30,30,30.0,0,0
91,2023-03-25,CUST091,Electronics,1,500,500,500.0,0,0
92,2023-08-25,CUST092,Electronics,4,30,120,30.0,0,0
93,2023-07-14,CUST093,Beauty,4,500,2000,500.0,1,0
94,2023-05-19,CUST094,Beauty,2,500,1000,500.0,0,0
95,2023-11-24,CUST095,Clothing,2,30,60,30.0,0,0
96,2023-12-19,CUST096,Clothing,2,300,600,300.0,0,0
97,2023-10-13,CUST097,Beauty,2,500,1000,500.0,0,0
98,2023-04-23,CUST098,Beauty,2,50,100,50.0,0,0
99,2023-12-17,CUST099,Electronics,4,300,1200,300.0,1,0
100,2023-06-16,CUST100,Electronics,1,30,30,30.0,0,0
101,2023-01-29,CUST101,Clothing,2,300,600,300.0,0,0
102,2023-04-28,CUST102,Beauty,2,25,50,25.0,0,0
103,2023-01-17,CUST103,Clothing,1,25,25,25.0,0,0
104,2023-06-11,CUST104,Beauty,2,500,1000,500.0,0,0
105,2023-07-25,CUST105,Electronics,1,500,500,500.0,0,0
106,2023-05-18,CUST106,Clothing,1,50,50,50.0,0,0
107,2023-02-03,CUST107,Clothing,4,300,1200,300.0,1,0
108,2023-04-19,CUST108,Beauty,3,25,75,25.0,0,0
109,2023-10-18,CUST109,Electronics,4,500,2000,500.0,1,0
110,2023-06-11,CUST110,Clothing,3,300,900,300.0,0,0
111,2023-04-19,CUST111,Electronics,3,500,1500,500.0,1,0
112,2023-12-02,CUST112,Clothing,3,500,1500,500.0,1,0
113,2023-09-13,CUST113,Electronics,2,25,50,25.0,0,0
114,2023-07-22,CUST114,Beauty,4,25,100,25.0,0,0
115,2023-11-26,CUST115,Clothing,3,500,1500,500.0,1,0
116,2023-08-23,CUST116,Clothing,1,30,30,30.0,0,0
117,2023-03-15,CUST117,Electronics,2,500,1000,500.0,0,0
118,2023-05-16,CUST118,Electronics,4,500,2000,500.0,1,0
119,2023-03-13,CUST119,Clothing,3,50,150,50.0,0,0
120,2023-05-07,CUST120,Beauty,1,50,50,50.0,0,0
121,2023-10-15,CUST121,Electronics,4,50,200,50.0,0,0
122,2023-10-03,CUST122,Electronics,4,30,120,30.0,0,0
123,2023-05-15,CUST123,Electronics,2,30,60,30.0,0,0
124,2023-10-27,CUST124,Clothing,4,500,2000,500.0,1,0
125,2023-08-08,CUST125,Clothing,2,50,100,50.0,0,0
126,2023-10-26,CUST126,Clothing,3,30,90,30.0,0,0
127,2023-07-24,CUST127,Clothing,2,25,50,25.0,0,0
128,2023-07-05,CUST128,Beauty,1,500,500,500.0,0,0
129,2023-04-23,CUST129,Beauty,2,300,600,300.0,0,0
130,2023-03-12,CUST130,Clothing,1,500,500,500.0,0,0
131,2023-09-18,CUST131,Beauty,2,300,600,300.0,0,0
132,2023-09-10,CUST132,Electronics,4,50,200,50.0,0,0
133,2023-02-16,CUST133,Electronics,3,300,900,300.0,0,0
134,2023-01-25,CUST134,Electronics,1,50,50,50.0,0,0
135,2023-02-26,CUST135,Clothing,2,25,50,25.0,0,0
136,2023-03-20,CUST136,Electronics,2,300,600,300.0,0,0
137,2023-11-18,CUST137,Beauty,2,500,1000,500.0,0,0
138,2023-03-23,CUST138,Clothing,4,50,200,50.0,0,0
139,2023-12-15,CUST139,Beauty,4,500,2000,500.0,1,0
140,2023-08-05,CUST140,Electronics,1,30,30,30.0,0,0
141,2023-11-02,CUST141,Electronics,1,50,50,50.0,0,0
142,2023-02-02,CUST142,Electronics,4,300,1200,300.0,1,0
143,2023-07-17,CUST143,Clothing,1,50,50,50.0,0,0
144,2023-07-15,CUST144,Beauty,3,500,1500,500.0,1,0
145,2023-11-02,CUST145,Clothing,3,25,75,25.0,0,0
146,2023-08-28,CUST146,Clothing,4,50,200,50.0,0,0
147,2023-09-28,CUST147,Electronics,1,300,300,300.0,0,0
148,2023-05-09,CUST148,Clothing,2,30,60,30.0,0,0
149,2023-10-11,CUST149,Clothing,3,25,75,25.0,0,0
150,2023-01-06,CUST150,Electronics,4,30,120,30.0,0,0
151,2023-12-15,CUST151,Clothing,1,50,50,50.0,0,0
152,2023-02-28,CUST152,Electronics,4,500,2000,500.0,1,0
153,2023-12-16,CUST153,Electronics,2,500,1000,500.0,0,0
154,2023-10-02,CUST154,Electronics,3,300,900,300.0,0,0
155,2023-05-17,CUST155,Electronics,4,500,2000,500.0,1,0
156,2023-11-25,CUST156,Clothing,4,25,100,25.0,0,0
157,2023-06-24,CUST157,Electronics,4,500,2000,500.0,1,0
158,2023-02-27,CUST158,Electronics,2,300,600,300.0,0,0
159,2023-05-31,CUST159,Clothing,4,50,200,50.0,0,0
160,2023-08-11,CUST160,Clothing,2,50,100,50.0,0,0
161,2023-03-22,CUST161,Beauty,2,500,1000,500.0,0,0
162,2023-08-21,CUST162,Clothing,2,30,60,30.0,0,0
163,2023-01-02,CUST163,Clothing,3,50,150,50.0,0,0
164,2023-05-15,CUST164,Beauty,3,500,1500,500.0,1,0
165,2023-09-14,CUST165,Clothing,4,300,1200,300.0,1,0
166,2023-04-02,CUST166,Clothing,4,500,2000,500.0,1,0
167,2023-09-17,CUST167,Clothing,3,50,150,50.0,0,0
168,2023-02-24,CUST168,Clothing,1,300,300,300.0,0,0
169,2023-11-17,CUST169,Beauty,3,500,1500,500.0,1,0
170,2023-06-02,CUST170,Clothing,2,25,50,25.0,0,0
171,2023-11-24,CUST171,Clothing,3,300,900,300.0,0,0
172,2023-09-17,CUST172,Beauty,2,25,50,25.0,0,0
173,2023-11-08,CUST173,Electronics,4,30,120,30.0,0,0
174,2023-04-12,CUST174,Beauty,1,300,300,300.0,0,0
175,2023-03-20,CUST175,Electronics,4,25,100,25.0,0,0
176,2023-07-11,CUST176,Beauty,2,50,100,50.0,0,0
177,2023-03-24,CUST177,Beauty,2,50,100,50.0,0,0
178,2023-10-04,CUST178,Clothing,2,30,60,30.0,0,0
179,2023-09-29,CUST179,Electronics,1,300,300,300.0,0,0
180,2023-01-01,CUST180,Clothing,3,300,900,300.0,0,0
181,2023-11-03,CUST181,Electronics,4,300,1200,300.0,1,0
182,2023-06-15,CUST182,Beauty,4,30,120,30.0,0,0
183,2023-09-08,CUST183,Beauty,3,300,900,300.0,0,0
184,2023-01-10,CUST184,Electronics,4,50,200,50.0,0,0
185,2023-02-27,CUST185,Clothing,1,25,25,25.0,0,0
186,2023-07-05,CUST186,Clothing,4,50,200,50.0,0,0
187,2023-06-07,CUST187,Clothing,2,50,100,50.0,0,0
188,2023-05-03,CUST188,Clothing,3,25,75,25.0,0,0
189,2023-01-30,CUST189,Beauty,1,50,50,50.0,0,0
190,2023-05-04,CUST190,Beauty,3,30,90,30.0,0,0
191,2023-10-18,CUST191,Beauty,1,25,25,25.0,0,0
192,2023-02-10,CUST192,Beauty,2,50,100,50.0,0,0
193,2023-02-13,CUST193,Beauty,3,500,1500,500.0,1,0
194,2023-09-06,CUST194,Clothing,4,50,200,50.0,0,0
195,2023-02-05,CUST195,Clothing,1,30,30,30.0,0,0
196,2023-09-30,CUST196,Clothing,3,300,900,300.0,0,0
197,2023-03-06,CUST197,Clothing,4,50,200,50.0,0,0
198,2023-03-07,CUST198,Beauty,3,300,900,300.0,0,0
199,2023-12-04,CUST199,Beauty,3,500,1500,500.0,1,0
200,2023-09-01,CUST200,Beauty,3,50,150,50.0,0,0
201,2023-10-09,CUST201,Electronics,1,25,25,25.0,0,0
202,2023-03-26,CUST202,Clothing,4,300,1200,300.0,1,0
203,2023-05-16,CUST203,Clothing,2,500,1000,500.0,0,0
204,2023-09-28,CUST204,Beauty,1,25,25,25.0,0,0
205,2023-11-07,CUST205,Clothing,1,25,25,25.0,0,0
206,2023-08-05,CUST206,Clothing,1,25,25,25.0,0,0
207,2023-04-19,CUST207,Beauty,2,25,50,25.0,0,0
208,2023-10-04,CUST208,Electronics,4,50,200,50.0,0,0
209,2023-12-20,CUST209,Electronics,4,50,200,50.0,0,0
210,2023-04-13,CUST210,Electronics,4,50,200,50.0,0,0
211,2024-01-01,CUST211,Beauty,3,500,1500,500.0,1,0
212,2023-06-09,CUST212,Clothing,3,500,1500,500.0,1,0
213,2023-07-24,CUST213,Beauty,3,500,1500,500.0,1,0
214,2023-12-10,CUST214,Beauty,2,30,60,30.0,0,0
215,2023-11-29,CUST215,Clothing,3,500,1500,500.0,1,0
216,2023-07-11,CUST216,Electronics,2,50,100,50.0,0,0
217,2023-08-13,CUST217,Electronics,4,50,200,50.0,0,0
218,2023-09-22,CUST218,Beauty,3,30,90,30.0,0,0
219,2023-08-20,CUST219,Electronics,3,30,90,30.0,0,0
220,2023-03-03,CUST220,Beauty,1,500,500,500.0,0,0
221,2023-05-07,CUST221,Beauty,2,300,600,300.0,0,0
222,2023-04-26,CUST222,Clothing,4,30,120,30.0,0,0
223,2023-02-02,CUST223,Clothing,1,25,25,25.0,0,0
224,2023-06-23,CUST224,Clothing,1,50,50,50.0,0,0
225,2023-01-11,CUST225,Beauty,4,25,100,25.0,0,0
226,2023-10-29,CUST226,Clothing,1,50,50,50.0,0,0
227,2023-10-11,CUST227,Electronics,2,50,100,50.0,0,0
228,2023-04-28,CUST228,Electronics,2,30,60,30.0,0,0
229,2023-10-29,CUST229,Beauty,3,30,90,30.0,0,0
230,2023-04-23,CUST230,Beauty,1,25,25,25.0,0,0
231,2023-01-04,CUST231,Clothing,3,50,150,50.0,0,0
232,2023-02-06,CUST232,Beauty,1,25,25,25.0,0,0
233,2023-12-29,CUST233,Beauty,2,300,600,300.0,0,0
234,2023-11-20,CUST234,Electronics,2,25,50,25.0,0,0
235,2023-01-31,CUST235,Electronics,2,500,1000,500.0,0,0
236,2023-04-28,CUST236,Clothing,1,25,25,25.0,0,0
237,2023-02-04,CUST237,Beauty,2,500,1000,500.0,0,0
238,2023-01-17,CUST238,Beauty,1,500,500,500.0,0,0
239,2023-06-19,CUST239,Electronics,3,500,1500,500.0,1,0
240,2023-02-06,CUST240,Beauty,1,300,300,300.0,0,0
241,2023-09-21,CUST241,Electronics,3,25,75,25.0,0,0
242,2023-05-02,CUST242,Clothing,1,25,25,25.0,0,0
243,2023-05-23,CUST243,Electronics,3,300,900,300.0,0,0
244,2023-12-09,CUST244,Beauty,2,50,100,50.0,0,0
245,2023-09-06,CUST245,Clothing,3,30,90,30.0,0,0
246,2023-04-20,CUST246,Electronics,2,25,50,25.0,0,0
247,2023-10-04,CUST247,Electronics,2,30,60,30.0,0,0
248,2023-03-09,CUST248,Clothing,3,300,900,300.0,0,0
249,2023-10-20,CUST249,Clothing,1,50,50,50.0,0,0
250,2023-10-23,CUST250,Electronics,1,50,50,50.0,0,0
251,2023-08-31,CUST251,Beauty,4,50,200,50.0,0,0
252,2023-05-05,CUST252,Electronics,1,300,300,300.0,0,0
253,2023-08-31,CUST253,Clothing,4,500,2000,500.0,1,0
254,2023-07-28,CUST254,Electronics,1,500,500,500.0,0,0
255,2023-04-08,CUST255,Clothing,1,30,30,30.0,0,0
256,2023-02-18,CUST256,Clothing,2,500,1000,500.0,0,0
257,2023-02-19,CUST257,Beauty,4,500,2000,500.0,1,0
258,2023-12-04,CUST258,Clothing,1,50,50,50.0,0,0
259,2023-08-09,CUST259,Clothing,4,50,200,50.0,0,0
260,2023-07-01,CUST260,Beauty,2,30,60,30.0,0,0
261,2023-08-05,CUST261,Clothing,2,25,50,25.0,0,0
262,2023-07-30,CUST262,Beauty,4,30,120,30.0,0,0
263,2023-08-28,CUST263,Beauty,2,30,60,30.0,0,0
264,2023-01-28,CUST264,Clothing,3,300,900,300.0,0,0
265,2023-12-11,CUST265,Clothing,3,300,900,300.0,0,0
266,2023-12-01,CUST266,Electronics,2,30,60,30.0,0,0
267,2023-11-27,CUST267,Beauty,3,30,90,30.0,0,0
268,2023-02-20,CUST268,Electronics,1,30,30,30.0,0,0
269,2023-02-01,CUST269,Clothing,4,500,2000,500.0,1,0
270,2023-07-26,CUST270,Electronics,1,300,300,300.0,0,0
271,2023-06-23,CUST271,Beauty,4,30,120,30.0,0,0
272,2023-02-25,CUST272,Electronics,2,50,100,50.0,0,0
273,2023-05-08,CUST273,Beauty,1,50,50,50.0,0,0
274,2023-04-09,CUST274,Clothing,2,500,1000,500.0,0,0
275,2023-04-08,CUST275,Clothing,2,500,1000,500.0,0,0
276,2023-10-02,CUST276,Beauty,4,25,100,25.0,0,0
277,2023-08-18,CUST277,Clothing,4,25,100,25.0,0,0
278,2023-03-13,CUST278,Clothing,4,25,100,25.0,0,0
279,2023-08-05,CUST279,Clothing,1,500,500,500.0,0,0
280,2023-04-04,CUST280,Clothing,3,500,1500,500.0,1,0
281,2023-05-23,CUST281,Beauty,4,500,2000,500.0,1,0
282,2023-08-25,CUST282,Electronics,4,50,200,50.0,0,0
283,2023-05-08,CUST283,Electronics,1,500,500,500.0,0,0
284,2023-02-08,CUST284,Clothing,4,50,200,50.0,0,0
285,2023-08-15,CUST285,Electronics,1,25,25,25.0,0,0
286,2023-10-09,CUST286,Electronics,2,25,50,25.0,0,0
287,2023-02-20,CUST287,Clothing,4,25,100,25.0,0,0
288,2023-01-26,CUST288,Clothing,4,30,120,30.0,0,0
289,2023-11-30,CUST289,Electronics,2,30,60,30.0,0,0
290,2023-10-04,CUST290,Beauty,2,300,600,300.0,0,0
291,2023-01-08,CUST291,Clothing,2,300,600,300.0,0,0
292,2023-02-17,CUST292,Beauty,4,300,1200,300.0,1,0
293,2023-05-02,CUST293,Electronics,3,30,90,30.0,0,0
294,2023-03-27,CUST294,Clothing,3,30,90,30.0,0,0
295,2023-07-28,CUST295,Beauty,3,300,900,300.0,0,0
296,2023-09-06,CUST296,Clothing,4,300,1200,300.0,1,0
297,2023-09-04,CUST297,Electronics,2,500,1000,500.0,0,0
298,2023-04-20,CUST298,Beauty,4,300,1200,300.0,1,0
299,2023-07-25,CUST299,Electronics,2,500,1000,500.0,0,0
300,2023-01-31,CUST300,Electronics,4,50,200,50.0,0,0
301,2023-03-26,CUST301,Clothing,4,30,120,30.0,0,0
302,2023-07-14,CUST302,Beauty,2,300,600,300.0,0,0
303,2023-01-02,CUST303,Electronics,3,30,90,30.0,0,0
304,2023-07-19,CUST304,Electronics,2,30,60,30.0,0,0
305,2023-05-16,CUST305,Beauty,1,30,30,30.0,0,0
306,2023-08-21,CUST306,Electronics,1,50,50,50.0,0,0
307,2023-05-27,CUST307,Electronics,2,25,50,25.0,0,0
308,2023-08-05,CUST308,Beauty,4,300,1200,300.0,1,0
309,2023-12-23,CUST309,Beauty,1,25,25,25.0,0,0
310,2023-10-12,CUST310,Beauty,1,25,25,25.0,0,0
311,2023-12-05,CUST311,Beauty,4,25,100,25.0,0,0
312,2023-09-07,CUST312,Clothing,4,30,120,30.0,0,0
313,2023-03-21,CUST313,Beauty,3,500,1500,500.0,1,0
314,2023-04-08,CUST314,Clothing,4,30,120,30.0,0,0
315,2023-06-01,CUST315,Clothing,2,30,60,30.0,0,0
316,2023-04-22,CUST316,Clothing,2,25,50,25.0,0,0
317,2023-01-30,CUST317,Electronics,3,30,90,30.0,0,0
318,2023-10-24,CUST318,Clothing,1,25,25,25.0,0,0
319,2023-10-05,CUST319,Clothing,1,500,500,500.0,0,0
320,2023-02-01,CUST320,Electronics,4,300,1200,300.0,1,0
321,2023-06-10,CUST321,Electronics,2,25,50,25.0,0,0
322,2023-01-30,CUST322,Electronics,1,500,500,500.0,0,0
323,2023-01-26,CUST323,Beauty,3,300,900,300.0,0,0
324,2023-10-27,CUST324,Electronics,3,50,150,50.0,0,0
325,2023-09-02,CUST325,Electronics,2,25,50,25.0,0,0
326,2023-09-15,CUST326,Clothing,3,25,75,25.0,0,0
327,2023-09-29,CUST327,Electronics,3,50,150,50.0,0,0
328,2023-03-22,CUST328,Beauty,2,50,100,50.0,0,0
329,2023-01-30,CUST329,Electronics,4,25,100,25.0,0,0
330,2023-09-18,CUST330,Beauty,4,50,200,50.0,0,0
331,2023-02-11,CUST331,Electronics,3,30,90,30.0,0,0
332,2023-04-06,CUST332,Electronics,4,300,1200,300.0,1,0
333,2023-02-05,CUST333,Electronics,4,300,1200,300.0,1,0
334,2023-11-01,CUST334,Electronics,3,300,900,300.0,0,0
335,2023-02-04,CUST335,Beauty,4,30,120,30.0,0,0
336,2023-12-12,CUST336,Beauty,3,50,150,50.0,0,0
337,2023-05-01,CUST337,Clothing,1,500,500,500.0,0,0
338,2023-07-26,CUST338,Beauty,2,50,100,50.0,0,0
339,2023-03-03,CUST339,Electronics,2,25,50,25.0,0,0
340,2023-10-19,CUST340,Clothing,4,300,1200,300.0,1,0
341,2023-05-07,CUST341,Clothing,4,50,200,50.0,0,0
342,2023-10-24,CUST342,Clothing,4,500,2000,500.0,1,0
343,2023-11-01,CUST343,Electronics,2,25,50,25.0,0,0
344,2023-01-21,CUST344,Beauty,1,30,30,30.0,0,0
345,2023-11-14,CUST345,Electronics,1,30,30,30.0,0,0
346,2023-02-11,CUST346,Clothing,2,500,1000,500.0,0,0
347,2023-08-03,CUST347,Electronics,1,25,25,25.0,0,0
348,2023-12-03,CUST348,Electronics,2,300,600,300.0,0,0
349,2023-10-26,CUST349,Beauty,1,50,50,50.0,0,0
350,2023-10-17,CUST350,Beauty,3,25,75,25.0,0,0
351,2023-09-25,CUST351,Clothing,3,30,90,30.0,0,0
352,2023-06-11,CUST352,Electronics,2,500,1000,500.0,0,0
353,2023-05-14,CUST353,Electronics,1,500,500,500.0,0,0
354,2023-04-15,CUST354,Beauty,4,50,200,50.0,0,0
355,2023-12-09,CUST355,Electronics,1,500,500,500.0,0,0
356,2023-06-10,CUST356,Electronics,3,500,1500,500.0,1,0
357,2023-05-03,CUST357,Electronics,3,25,75,25.0,0,0
358,2023-05-16,CUST358,Beauty,1,300,300,300.0,0,0
359,2023-07-22,CUST359,Clothing,1,50,50,50.0,0,0
360,2023-03-09,CUST360,Clothing,4,25,100,25.0,0,0
361,2023-12-10,CUST361,Electronics,4,300,1200,300.0,1,0
362,2023-11-27,CUST362,Clothing,1,25,25,25.0,0,0
363,2023-06-03,CUST363,Beauty,1,25,25,25.0,0,0
364,2023-08-23,CUST364,Beauty,1,500,500,500.0,0,0
365,2023-06-11,CUST365,Clothing,1,300,300,300.0,0,0
366,2023-02-07,CUST366,Clothing,2,50,100,50.0,0,0
367,2023-01-05,CUST367,Electronics,1,50,50,50.0,0,0
368,2023-08-23,CUST368,Clothing,4,300,1200,300.0,1,0
369,2023-11-15,CUST369,Electronics,3,500,1500,500.0,1,0
370,2023-10-16,CUST370,Electronics,2,30,60,30.0,0,0
371,2023-02-21,CUST371,Beauty,1,25,25,25.0,0,0
372,2023-02-07,CUST372,Beauty,3,500,1500,500.0,1,0
373,2023-10-03,CUST373,Beauty,2,300,600,300.0,0,0
374,2023-04-20,CUST374,Beauty,3,25,75,25.0,0,0
375,2023-09-17,CUST375,Clothing,1,50,50,50.0,0,0
376,2023-05-16,CUST376,Beauty,1,30,30,30.0,0,0
377,2023-03-09,CUST377,Clothing,4,50,200,50.0,0,0
378,2023-06-28,CUST378,Beauty,1,300,300,300.0,0,0
379,2023-02-05,CUST379,Clothing,1,25,25,25.0,0,0
380,2023-05-06,CUST380,Electronics,2,300,600,300.0,0,0
381,2023-07-09,CUST381,Clothing,4,25,100,25.0,0,0
382,2023-05-26,CUST382,Clothing,2,500,1000,500.0,0,0
383,2023-03-22,CUST383,Beauty,3,30,90,30.0,0,0
384,2023-08-13,CUST384,Clothing,1,500,500,500.0,0,0
385,2023-10-06,CUST385,Electronics,3,500,1500,500.0,1,0
386,2023-12-27,CUST386,Electronics,2,300,600,300.0,0,0
387,2023-06-04,CUST387,Beauty,1,30,30,30.0,0,0
388,2023-11-10,CUST388,Electronics,1,25,25,25.0,0,0
389,2023-12-01,CUST389,Clothing,2,25,50,25.0,0,0
390,2023-09-28,CUST390,Electronics,2,50,100,50.0,0,0
391,2023-01-05,CUST391,Beauty,2,25,50,25.0,0,0
392,2023-12-08,CUST392,Clothing,2,300,600,300.0,0,0
393,2023-10-11,CUST393,Beauty,2,500,1000,500.0,0,0
394,2023-06-03,CUST394,Clothing,1,500,500,500.0,0,0
395,2023-12-06,CUST395,Electronics,2,500,1000,500.0,0,0
396,2023-02-23,CUST396,Beauty,1,30,30,30.0,0,0
397,2023-03-10,CUST397,Beauty,1,25,25,25.0,0,0
398,2023-05-16,CUST398,Clothing,2,300,600,300.0,0,0
399,2023-03-01,CUST399,Beauty,2,30,60,30.0,0,0
400,2023-02-24,CUST400,Clothing,4,50,200,50.0,0,0
401,2023-10-11,CUST401,Clothing,1,300,300,300.0,0,0
402,2023-03-21,CUST402,Clothing,2,300,600,300.0,0,0
403,2023-05-20,CUST403,Clothing,2,300,600,300.0,0,0
404,2023-05-25,CUST404,Electronics,2,500,1000,500.0,0,0
405,2023-11-06,CUST405,Clothing,4,300,1200,300.0,1,0
406,2023-04-18,CUST406,Beauty,4,25,100,25.0,0,0
407,2023-06-25,CUST407,Electronics,3,300,900,300.0,0,0
408,2023-04-15,CUST408,Beauty,1,500,500,500.0,0,0
409,2023-12-18,CUST409,Electronics,3,300,900,300.0,0,0
410,2023-11-21,CUST410,Clothing,2,50,100,50.0,0,0
411,2023-05-16,CUST411,Electronics,4,50,200,50.0,0,0
412,2023-09-16,CUST412,Electronics,4,500,2000,500.0,1,0
413,2023-09-08,CUST413,Beauty,3,25,75,25.0,0,0
414,2023-05-09,CUST414,Beauty,4,25,100,25.0,0,0
415,2023-01-27,CUST415,Clothing,2,30,60,30.0,0,0
416,2023-02-17,CUST416,Electronics,4,500,2000,500.0,1,0
417,2023-11-21,CUST417,Electronics,3,300,900,300.0,0,0
